Year,PoliticalParty,Language,Description,Slogan,URL,Hashtag,Candidate
2015,PP Madrid,es,Political manifesto of the People's Party of the Community of Madrid for the regional elections of 24 May 2015.,Aún queda mucho por hacer.,https://www.pp.es/sites/default/files/documentos/pp_programa-autonomicas_2015.pdf,,Cristina Cifuentes
2019,PP Madrid,es,Political manifesto of the People's Party of the Community of Madrid for the regional elections of 26 May 2019.,Centrados en tu futuro.,https://www.pp.es/sites/default/files/documentos/programa_electoral_isabel_diaz_ayuso.pdf,,Isabel Diaz Ayuso
